 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
563	I/IIa	1949.888	66.943	982	1747	101.310	38.886	NaN
564	IIb	27.749	7.528	716	1750	138.366	5.001	NaN
565	I/IIa	978.266	44.668	1167	1760	136.701	34.781	NaN
566	I/IIa	1420.694	62.345	902	1759	111.161	33.498	NaN
567	I/IIa	1684.900	62.144	696	1856	66.272	38.124	NaN
568	I	982.175	45.791	632	1837	57.829	33.759	NaN
569	I	1521.530	60.680	749	1775	117.621	42.031	NaN
570	I/IIa	1354.643	54.930	1449	1785	131.309	36.249	NaN
571	I/IIa	1861.559	63.294	1536	1780	106.645	43.435	NaN
572	IIb	3282.253	91.037	816	1907	59.913	61.528	NaN
573	I/IIa	1125.612	57.069	1099	1787	114.600	32.622	NaN
574	IIx	1908.850	70.189	1407	1788	109.242	41.857	NaN
575	I/IIa	962.242	52.246	589	1870	68.962	27.507	NaN
576	I/IIa	312.279	25.510	1181	1836	36.027	19.629	NaN
577	I/IIa	1575.857	58.836	1024	1817	132.847	42.283	NaN
578	I/IIa	1945.198	63.835	1365	1819	104.172	43.280	NaN
579	I/IIa	850.072	47.389	1163	1826	98.344	23.131	NaN
580	I/IIa	1740.399	69.641	1244	1832	139.733	39.898	NaN
581	I/IIa	1643.472	71.110	1221	1941	83.437	31.228	NaN
582	I/IIa	1604.779	57.192	955	1847	105.859	44.650	NaN
583	I/IIa	1375.748	49.794	1470	1923	61.504	39.417	NaN
584	I	513.560	47.004	999	1930	76.149	15.801	NaN
585	I/IIa	1167.822	60.257	1104	1870	112.574	30.527	NaN
586	IIb	67.615	13.262	870	1888	45.000	7.844	NaN
587	IIb	1292.500	69.405	899	1875	125.838	33.502	NaN
588	I/IIa	1288.982	64.158	1025	1884	123.071	29.791	NaN
589	I	1735.318	56.501	1252	1885	114.864	48.251	NaN
590	I/IIa	849.290	51.035	1071	1895	120.964	22.526	NaN
591	IIa	1654.024	54.130	1414	1982	75.964	42.744	NaN
592	IIb	483.857	36.373	828	1931	24.362	19.420	NaN
593	I/IIa	1490.263	59.768	1327	1920	142.651	36.012	NaN
594	IIb	54.717	10.254	1014	1940	142.431	7.502	NaN
595	IIb	412.724	37.765	984	1955	160.665	18.755	NaN
596	I/IIa	1701.706	52.574	1284	1977	154.654	44.426	NaN
597	IIb	158.289	25.108	930	1991	18.886	8.285	NaN
598	IIb	82.467	13.291	1130	1991	41.186	8.752	NaN
599	IIb	289.611	22.731	981	1986	148.496	20.005	NaN
